Timestamp=Thu 5 Mar 2015 07:41:51 GMT +0	Test
Timestamp=Thu 5 Mar 2015 21:31:33 GMT +0	Pocket
Timestamp=Thu 5 Mar 2015 21:45:23 GMT +0	activity_type=pocket	title=Jumpers	excerpt=Shortly after ten-thirty in the morning on Wednesday, March 19th, a real-estate agent named Paul Alarab began hiking across the Golden Gate Bridge.	tags=	url=http://ift.tt/1tvXAto	added_date=March 05, 2015 at 01:45PM
cussed mystery tunnel has finally come forward.	tags=3D	url=3Dhttp://ift.tt/1Fg1lpp	added_date=3DMarch 05, 2015 at 02:39PM
Timestamp=Thu 5 Mar 2015 22:41:32 GMT +0	activity_type=3Dpocket	title=3DState Department had 'clear-cut' rule on email before Hillary Cli=
nton took office	excerpt=3DThe State Department has had a policy in place since 2005 to wa=	rn officials against routine use of personal e-mail accounts for governme=	nt work, a regulation in force during Hillary Clinton=E2=80=99s tenure as=	 secretary of state that appears to be at odds with her reliance on a pri=
vate ema	tags=3D	url=3Dhttp://ift.tt/1NmtXTq	added_date=3DMarch 05, 2015 at 02:40PM
Timestamp=Fri 6 Mar 2015 01:44:58 GMT +0	activity_type=pocket	title=So Many Airfares, So Much Data	excerpt=THE Web has given airline customers more convenience and more power. The ability to compare prices instantly at several airlines	tags=	url=http://ift.tt/1Nm7Xbi	added_date=March 05, 2015 at 05:44PM
Timestamp=Fri 6 Mar 2015 05:57:25 GMT +0	activity_type=pocket	title=	excerpt=	tags=	url=http://ift.tt/1G4L1YF	added_date=March 05, 2015 at 09:55PM
Timestamp=Fri 6 Mar 2015 05:57:27 GMT +0	activity_type=pocket	title=Lockheed Martin Claims Sustainable Fusion Is Within Its Grasp	excerpt=NEWS ANALYSIS: Lockheed Martin's Skunk Works claims the ability to generate cheap energy from nuclear fusion with little waste or global warming is within its grasp.	tags=	url=http://ift.tt/1AMVyTV	added_date=March 05, 2015 at 09:55PM
Timestamp=Fri 6 Mar 2015 05:57:29 GMT +0	activity_type=pocket	title=GOP leaders to skip Selma event	excerpt=Scores of U.S. lawmakers are converging on tiny Selma, Alabama, for a large commemoration of a civil rights anniversary. But their ranks don?t include a single member of House Republican leadership -- a point that isn?t lost on congressional black leaders.	tags=	url=http://ift.tt/1DQINtu	added_date=March 05, 2015 at 09:55PM
Timestamp=Fri 6 Mar 2015 06:03:41 GMT +0	activity_type=pocket	title='Oldest human brain' may have been preserved by mud	excerpt=The organ was found inside a decapitated skull at an Iron Age dig site near York in 2008. Tests on the remains suggested they were from the 6th Century BC, making them about 2,600 years old.	tags=	url=http://ift.tt/1FW4w5L	added_date=March 05, 2015 at 09:57PM
Timestamp=Fri 6 Mar 2015 06:08:52 GMT +0	activity_type=pocket	title=CNES Partners with Google to deploy Global 100,000 Internet Loon Ballon Networks	excerpt=CNES has maintained an active balloon launch program for studies of upper-atmospheric air currents, the chemical composition of the atmosphere at specific altitudes and other purposes, launching as many as 20 balloons a month.	tags=	url=http://ift.tt/1A2u1if	added_date=March 05, 2015 at 10:07PM
Timestamp=Fri 6 Mar 2015 06:14:06 GMT +0	activity_type=pocket	title=The Crash of Delta 1086 Is Exactly Why Airlines Cancel Flights for Snow	excerpt=We've all moaned and groaned over flights cancelled due to weather.	tags=	url=http://ift.tt/1MbNVPr	added_date=March 05, 2015 at 10:11PM
Timestamp=Fri 6 Mar 2015 09:48:27 GMT +0	activity_type=pocket	title=Comcast Blocks HBO Go From Working On Playstation 4, Won't Coherently Explain Why	excerpt=About a year ago we noted how Comcast has a weird tendency to prevent its broadband users from being able to use HBO Go on some fairly standard technology, including incredibly common Roku hardware.	tags=	url=http://ift.tt/1w6R3bb	added_date=March 06, 2015 at 01:43AM
Timestamp=Fri 6 Mar 2015 09:48:28 GMT +0	activity_type=pocket	title=Microsoft: All Windows versions Vulnerable to FREAK Vulnerability	excerpt=When the security glitch first discovered on Monday, it was believed that the Windows system was immune to FREAK attacks.	tags=	url=http://ift.tt/1DZEJda	added_date=March 06, 2015 at 01:45AM
Timestamp=Fri 6 Mar 2015 09:48:29 GMT +0	activity_type=pocket	title=Edward Snowden says Canadian spying has weakest oversight in Western world	excerpt=U.S. National Security Agency whistleblower Edward Snowden says Canada has one of the 	quot;weakest oversight=	quot; frameworks for intelligence gathering in the Western world.=	tags=	url=http://ift.tt/1GUt3t9	added_date=March 06, 2015 at 01:45AM
Timestamp=Fri 6 Mar 2015 09:48:31 GMT +0	activity_type=pocket	title=10 new features in Tableau v9 you may not know about	excerpt=With Tableau version 9 now in beta and due for release in the not-too-distant future, there?s a lot of buzz in the Tableau community about all the new headline feature enhancements, and there are quite a few to shout about! New features like parallel processing are set to deliver massive perform	tags=	url=http://ift.tt/1F00mtk	added_date=March 06, 2015 at 01:46AM
Timestamp=Fri 6 Mar 2015 09:54:05 GMT +0	activity_type=pocket	title=The Ticketizer!	excerpt=I have built a pocket size device the copy a new metro/subway magnetic ticket to be used forever.        This should work fine with all the countries that still use the magnetic strip tickets .	tags=	url=http://ift.tt/18TTq7i	added_date=March 06, 2015 at 01:51AM
Timestamp=Fri 6 Mar 2015 09:59:43 GMT +0	activity_type=pocket	title='We should have been more audacious' - A Civilization: Beyond Earth retrospective	excerpt=Firaxis was too concerned about alienating players of previous titles in the Civilization series when creating the most recent, science-fiction themed entry, Beyond Earth, the game's lead designers said during an open and honest retrospective on the PC game at GDC 2015 in San Francisco today.	tags=	url=http://ift.tt/1DZ7tm8	added_date=March 06, 2015 at 01:54AM
Timestamp=Fri 6 Mar 2015 09:59:43 GMT +0	activity_type=pocket	title=Tired of shutdown battles? This bill would end them for good.	excerpt=Tired of fretting about government shutdowns? Budget lapses would be a thing of the past under a new proposal from a House Democrat who wants to put an end to them for good. Rep. Alan Grayson (D-Fla.	tags=	url=http://ift.tt/1Fd24aU	added_date=March 06, 2015 at 01:57AM
Timestamp=Fri 6 Mar 2015 10:11:21 GMT +0	activity_type=pocket	title=Microsoft admits 'we've lost our way' on PC games	excerpt=Matt WeinbergerMicrosoft's Xbox boss admitted 	quot;we've lost our way=	quot; on PC gaming, but the company wants another chance.=	tags=	url=http://ift.tt/1wZUDPG	added_date=March 06, 2015 at 02:09AM
Timestamp=Fri 6 Mar 2015 10:17:17 GMT +0	activity_type=pocket	title=	excerpt=	tags=	url=http://ift.tt/1BcZ8KP	added_date=March 06, 2015 at 02:14AM
Timestamp=Fri 6 Mar 2015 16:47:34 GMT +0	activity_type=pocket	title=Chris Christie sells out New Jersey taxpayers	excerpt=New Jersey Gov. Chris Christie (R) is going back to the payday lender, selling out future taxpayers to fix a cash crunch of his own design. Here?s the background.	tags=	url=http://ift.tt/1BdleNd	added_date=March 06, 2015 at 08:35AM
Timestamp=Fri 6 Mar 2015 16:47:36 GMT +0	activity_type=pocket	title=Steam Gauge: Measuring the most popular Steam games of 2014	excerpt=(Update March 5: A few graphs have seen minor adjustments--2013 release Call of Duty: Ghosts was removed from the 	quot;most played=	quot; graph, and free-to-play title Dead Island: Epidemic was removed from the pay-to-own graph.=	tags=	url=http://ift.tt/1KmeK5T	added_date=March 06, 2015 at 08:40AM
Timestamp=Fri 6 Mar 2015 18:54:13 GMT +0	activity_type=pocket	title=<<Ma petite>>, <<ma jolie>>: le sexisme toujours bien ancre' au travail	excerpt=<<Comment c,a va ma petite?>>, <<ma jolie>>: qu?il passe par un humour graveleux, des attaques plus frontales ou une forme de paternalisme ne'faste, le sexisme reste bien ancre' dans le monde du travail, un phe'nome`ne qui n?est pas sans conse'quence sur la carrie`re des femmes.	tags=	url=http://ift.tt/1AOAXib	added_date=March 06, 2015 at 10:28AM
Timestamp=Fri 6 Mar 2015 18:54:14 GMT +0	activity_type=pocket	title=Virunga's White Savior Complex	excerpt=It is easy to see why the Oscar-nominated film Virunga has received such widespread acclaim.	tags=	url=http://ift.tt/1wJK5JP	added_date=March 06, 2015 at 10:29AM
Timestamp=Fri 6 Mar 2015 18:54:15 GMT +0	activity_type=pocket	title=How One Guy Wooed 2,000 Women on Tinder	excerpt=Blake Jamieson is trying to digitally play his way into women?s hearts, and it might actually be working. The aspiring content marketer applied a little branding to his profile on Tinder, the hot-or-not-style dating app, and said he's now matched with more than 2,000 women.	tags=	url=http://ift.tt/1eS9ORP	added_date=March 06, 2015 at 10:45AM
Timestamp=Fri 6 Mar 2015 18:54:16 GMT +0	activity_type=pocket	title=Virunga Prompts Church of England and Others to Divest in Mining Firm over Endangered Gorillas	excerpt=The power of an activist documentary to change the world is astonishing. Even though it wasn?t nominated, Blackfish has brought awareness to the plight of orcas in captivity.	tags=	url=http://ift.tt/16LbLBW	added_date=March 06, 2015 at 10:49AM
Timestamp=Fri 6 Mar 2015 18:54:18 GMT +0	activity_type=pocket	title=Leonardo DiCaprio to make more nature docs with Netflix after Virunga success	excerpt=Following the Oscar-nominated success of wildlife documentary Virunga, Leonardo DiCaprio is set to produce further environmental films in a multi-year partnership with Netflix.	tags=	url=http://ift.tt/1aMs57C	added_date=March 06, 2015 at 10:49AM
Timestamp=Fri 6 Mar 2015 18:54:19 GMT +0	activity_type=pocket	title=Oscar Nominee ?Virunga? Receives Support from Clintons, Church of England	excerpt=In the past few weeks, the Oscar-nominated documentary ?Virunga? has received some high-profile support.	tags=	url=http://ift.tt/1IWn2kg	added_date=March 06, 2015 at 10:50AM
Timestamp=Fri 6 Mar 2015 19:32:03 GMT +0	activity_type=pocket	title=Oscar hopeful 'Virunga' is ammo against Big Oil for battered park lovers	excerpt=It was supposed to be a story of hope. At least that's what Orlando von Einsiedel thought when he arrived in Virunga National Park to make a documentary about adorable mountain gorillas and brave park rangers.	tags=	url=http://ift.tt/1EzOxKe	added_date=March 06, 2015 at 10:55AM
Timestamp=Fri 6 Mar 2015 19:32:05 GMT +0	activity_type=pocket	title=Thousands of women are throwing a guy a dance party after he was body shamed	excerpt=The Internet is taking a stand: no one should ever be shamed for trying to have a good time. In February, a user on 4chan posted about their encounter with a man at a concert, who was ridiculed for dancing and quickly stopped when he noticed people were laughing at him.	tags=	url=http://ift.tt/1H7WxUr	added_date=March 06, 2015 at 10:56AM
Timestamp=Fri 6 Mar 2015 19:32:06 GMT +0	activity_type=pocket	title=About That Problem With Metal and Water	excerpt=I qualified that claim by noting that a tag cannot be read on a can in the middle of a pallet of canned goods, or on a case in the center of a pallet of bottled water. The energy just can't reach the pallet's center. The metal reflects the energy away from the tag, and the water absorbs the energy.	tags=	url=http://ift.tt/1BPitUe	added_date=March 06, 2015 at 11:21AM
Timestamp=Fri 6 Mar 2015 19:32:07 GMT +0	activity_type=pocket	title=RFID License Plates: A Successful In-Metal RFID Application	excerpt=--Not long ago, the use of passive ultrahigh-frequency (UHF) RFID tags was said to be problematic in proximity to metal, since UHF radio waves bounce off metallic objects.	tags=	url=http://ift.tt/1H7WzLQ	added_date=March 06, 2015 at 11:22AM
Timestamp=Fri 6 Mar 2015 20:50:26 GMT +0	activity_type=pocket	title=First on CNN: Feds prepare criminal corruption charges against Senator Bob Menendez	excerpt=Washington (CNN)The Justice Department is preparing to bring criminal corruption charges against New Jersey Sen. Robert Menendez, a Democrat, alleging he used his Senate office to push the business interests of a Democratic donor and friend in exchange for gifts.	tags=	url=http://ift.tt/1G7sSJU	added_date=March 06, 2015 at 12:47PM
Timestamp=Fri 6 Mar 2015 21:42:36 GMT +0	activity_type=pocket	title=NASA?s Dawn Probe Begins Orbiting Dwarf Planet Ceres	excerpt=NASA?s Dawn spacecraft entered orbit around the asteroid Ceres on Friday morning at an altitude of just under 38,000 miles. Currently, the spacecraft is above the night side of Ceres, limiting the amount of information that can be gathered.	tags=	url=http://ift.tt/1BbVAJX	added_date=March 06, 2015 at 01:29PM
Timestamp=Fri 6 Mar 2015 21:42:37 GMT +0	activity_type=pocket	title=In U.C.L.A. Debate Over Jewish Student, Echoes on Campus of Old Biases	excerpt=LOS ANGELES -- It seemed like routine business for the student council at the University of California, Los Angeles: confirming the nomination of Rachel Beyda, a second-year economics major who wants to be a lawyer someday, to the council?s Judicial Board. Until it came time for questions.	tags=	url=http://ift.tt/1H5X754	added_date=March 06, 2015 at 01:36PM
Timestamp=Fri 6 Mar 2015 22:32:29 GMT +0	activity_type=pocket	title=Sotomayor May Have Saved Obamacare	excerpt=In a dispatch on King v. Burwell, the closely watched Obamacare challenge, NPR?s Nina Totenberg observed that the plaintiffs? attorney, Michael Carvin, argued before the Supreme Court with ?red-faced passion.	tags=	url=http://ift.tt/18o8XuM	added_date=March 06, 2015 at 02:27PM
Timestamp=Fri 6 Mar 2015 22:48:41 GMT +0	activity_type=pocket	title=Justice Kennedy nailed what?s so bizarre about the case against Obamacare	excerpt=On Tuesday, Justice Anthony Kennedy blew a gaping hole in the latest Supreme Court case against Obamacare -- but perhaps not quite in the way he, or most observers, thinks.	tags=	url=http://ift.tt/1BOiCaj	added_date=March 06, 2015 at 02:35PM
Timestamp=Fri 6 Mar 2015 22:48:43 GMT +0	activity_type=pocket	title=A quantum device that detects and corrects its own errors	excerpt=In what they are calling a major milestone, researchers in the John Martinis Lab at UC Santa Barbara have developed quantum circuitry that self-checks for errors and suppresses them -- preserving the qubits? state(s) and imbuing the system with reliability that is foundational for building pow	tags=	url=http://ift.tt/1H3p4uh	added_date=March 06, 2015 at 02:38PM
Timestamp=Fri 6 Mar 2015 22:48:44 GMT +0	activity_type=pocket	title='They Don?t Have A Right To Be Served In Every Store' Says GOP Lawmaker About Gay People	excerpt=A Republican state Senator warns LGBT people - but no one else - that they shouldn't have an expectation of being treated equally or fairly in his conservative state.	tags=	url=http://ift.tt/1KuLRET	added_date=March 06, 2015 at 02:42PM
Timestamp=Sat 7 Mar 2015 00:26:23 GMT +0	activity_type=pocket	title=George RR Martin donates Hobbit first edition to Texas university ~ Variety Reports	excerpt=Texas? A	amp;M\[CloseCurlyQuote]s Cushing Memorial Library and Archives has been George R.R. Martin\[CloseCurlyQuote]s place of choice for depositing of all written work since 1993. Since then, most of his work has been donated to the library for safe keeping.=	tags=	url=http://ift.tt/1G65L2d	added_date=March 06, 2015 at 04:14PM
Timestamp=Sat 7 Mar 2015 00:26:24 GMT +0	activity_type=pocket	title=Diamonds Are Bullshit	excerpt=American males enter adulthood through a peculiar rite of passage - they spend most of their savings on a shiny piece of rock. They could invest the money in assets that will compound over time and someday provide a nest egg.	tags=	url=http://ift.tt/1Fk9bP0	added_date=March 06, 2015 at 04:14PM
Timestamp=Sat 7 Mar 2015 00:43:09 GMT +0	activity_type=pocket	title=McDonald's Just Banned Antibiotic-Laced Chicken. Here's Why That Matters.	excerpt=This week, McDonald's pledged to phase out serving chicken raised on antibiotics that can also be used to treat humans. To understand the giant implications this has for the meat industry, consider my colleague Tom Philpott's previous reporting on the topic.	tags=	url=http://ift.tt/18mO2IM	added_date=March 06, 2015 at 04:40PM
Timestamp=Sat 7 Mar 2015 00:58:41 GMT +0	activity_type=pocket	title=Why Boehner?s invite to Netanyahu is unconstitutional	excerpt=House Speaker John Boehner?s annoyance with President Barack Obama is turning into a grudge match against the Constitution. Boehner?s decision to invite a foreign head of government to address Congress without first consulting the sitting president has no precedent in American history.	tags=	url=http://ift.tt/1BvNFHT	added_date=March 06, 2015 at 04:45PM
Timestamp=Sat 7 Mar 2015 00:58:43 GMT +0	activity_type=pocket	title=Earliest reference describes Christ as 'magician'	excerpt=A team of scientists led by renowned French marine archaeologist Franck Goddio recently announced that they have found a bowl, dating to between the late 2nd century B.C. and the early 1st century A.D., that is engraved with what they believe could be the world's first known reference to Christ.	tags=	url=http://ift.tt/1G8NPnB	added_date=March 06, 2015 at 04:47PM
Timestamp=Sat 7 Mar 2015 00:58:44 GMT +0	activity_type=pocket	title=Scorpion Toxin Blocks Nav1.8 Channel, Pain in Grasshopper Mouse	excerpt=Most mammals, humans included, writhe in pain in response to a venomous sting from the bark scorpion. Not so the grasshopper mouse. The scorpion?s desert-dwelling cohabitant seems unperturbed by multiple stings and actually preys on the scorpions.	tags=	url=http://ift.tt/1BbcDM4	added_date=March 06, 2015 at 04:47PM
Timestamp=Sat 7 Mar 2015 00:58:46 GMT +0	activity_type=pocket	title=The Fermi Paradox	excerpt=Everyone feels something when they?re in a really good starry place on a really good starry night and they look up and see this: Some people stick with the traditional, feeling struck by the epic beauty or blown away by the insane scale of the universe.	tags=	url=http://ift.tt/1sYcxQ5	added_date=March 06, 2015 at 04:49PM
Timestamp=Sat 7 Mar 2015 16:56:09 GMT +0	activity_type=pocket	title=Chris Christie interrupted during Iowa appearance by New Jersey hecklers who traveled 1,000 miles to confront him about Hurricane Sandy relief	excerpt=A pair of protesters who came all the way from New Jersey to Des Moines, Iowa to lodge a protest against their state's governor, Chris Christie, were thrown out of Saturday's Iowa Ag Summit after they yelled that Christie hadn't done enough to help victims of Hurricane Sandy.	tags=	url=http://ift.tt/1wdTc4U	added_date=March 07, 2015 at 08:52AM
Timestamp=Sat 7 Mar 2015 16:56:10 GMT +0	activity_type=pocket	title=Torture: No One Said No	excerpt=Who bears ultimate responsibility for the US torture program? The report by the Senate Select Committee on Intelligence, released in December, told us much about how the program was implemented and carried out: it was fundamentally ill-conceived, poorly managed, and led to grievous abuses of	tags=	url=http://ift.tt/18V5Eg4	added_date=March 07, 2015 at 08:52AM
Timestamp=Sat 7 Mar 2015 17:12:53 GMT +0	activity_type=pocket	title=The day Pepsi became a great military power	excerpt=What are we doing talking about a 100% American brand like Pepsi in a blog about Russian history and culture? We are going to discover one of those stories that seem to be taken from a spy movie.	tags=	url=http://ift.tt/1wdvpCh	added_date=March 07, 2015 at 08:56AM
Timestamp=Sat 7 Mar 2015 17:12:54 GMT +0	activity_type=pocket	title=Obama administration formally supports nationwide gay marriage	excerpt=Washington (CNN)Calling state bans on same-sex marriage 	quot;incompatible with the Constitution,=	quot; the Obama administration Friday filed a brief at the U.S. Supreme Court in support of couples who are making challenges in Kentucky, Michigan, Ohio and Tennessee.=	tags=	url=http://ift.tt/1BRyV6n	added_date=March 07, 2015 at 08:57AM
Timestamp=Sat 7 Mar 2015 17:12:56 GMT +0	activity_type=pocket	title=NASA?s chief confirms it: Without Russia, space station lost	excerpt=The International Space Station was launched in November 1998, fifteen years ago. Here are some great photos inside and outside the largest artificial body in Earth's orbit.	tags=	url=http://ift.tt/1wWLVBF	added_date=March 07, 2015 at 08:57AM
Timestamp=Sat 7 Mar 2015 17:12:58 GMT +0	activity_type=pocket	title=Smog documentary blocked by China after becoming viral hit	excerpt=BEIJING (AFP) - A hard-hitting video investigation into China's grave air pollution problem has been pulled from mainstream video sites, days after it garnered more than 100 million hits online.	tags=	url=http://ift.tt/1wNWPPP	added_date=March 07, 2015 at 08:58AM
Timestamp=Sat 7 Mar 2015 17:12:59 GMT +0	activity_type=pocket	title=What Is Open Today Near Me - HoursOf.com	excerpt=How Does It Work? First, Share Your Location when prompted by the browser, or you can manually enter a city/state or zip code. Next, click a Category or type your own search. We scan the hours of operation listings and filter them for open places.	tags=	url=http://www.hoursof.com/	added_date=March 07, 2015 at 08:58AM
Timestamp=Sat 7 Mar 2015 17:13:01 GMT +0	activity_type=pocket	title=Greenwald: Snowden story is as much about journalism as surveillance	excerpt=Glenn Greenwald has told the audience at the Meg conference in Gothenburg, Sweden, that the overreach of surveillance services is as much a failure of 	quot;corporatised=	quot; media organisations as a failure of government oversight.=	tags=	url=http://ift.tt/1Empyxk	added_date=March 07, 2015 at 09:01AM
Timestamp=Sat 7 Mar 2015 17:13:03 GMT +0	activity_type=pocket	title='You?re Not Wrong, You're Just an A**hole'	excerpt=The Washington Redskins is a name that is offensive and perpetuates racism against Native Americans. Should it be changed? Yes.	tags=	url=http://ift.tt/1BOXh0r	added_date=March 07, 2015 at 09:02AM
Timestamp=Sat 7 Mar 2015 17:13:04 GMT +0	activity_type=pocket	title=Workers? Compensation Benefits	excerpt=If you suffer a permanent injury on the job, you?re typically entitled to compensation for the damage to your body and your future lost wages. But depending on the state, benefits for the same body part can differ dramatically.	tags=	url=http://ift.tt/1zWapLK	added_date=March 07, 2015 at 09:02AM
Timestamp=Sun 8 Mar 2015 09:41:37 GMT +0	activity_type=pocket	title=Gender, education and work	excerpt=?IT?S all to do with their brains and bodies and chemicals,? says Sir Anthony Seldon, the master of Wellington College, a posh English boarding school.	tags=	url=http://ift.tt/1FdvUfk	added_date=March 08, 2015 at 01:40AM
Timestamp=Sun 8 Mar 2015 23:20:04 GMT +0	activity_type=pocket	title=Another Female Interviewer on a Muslim News Show Dares Defy a Male Guest	excerpt=Female Muslim TV hosts are beginning to make a delicious habit of their uppity insolence. Last month we enjoyed the spectacle of a Saudi TV host losing her composure and laughing in a male guest?s face when he proposed something absurdly sexist and offensive.	tags=	url=http://ift.tt/1KBHBmQ	added_date=March 08, 2015 at 04:14PM
Timestamp=Sun 8 Mar 2015 23:32:18 GMT +0	activity_type=pocket	title=U.S. Tourists Arrested For Carving Their Names Into Rome?s Colosseum	excerpt=Two tourists from California were arrested in the Italian capital, Rome, on Saturday for allegedly engraving their initials into the ancient Colosseum and posing for a selfie, Italian media reported.	tags=	url=http://ift.tt/1aVfwHh	added_date=March 08, 2015 at 04:20PM
Timestamp=Sun 8 Mar 2015 23:32:19 GMT +0	activity_type=pocket	title=UC Berkeley team unveils 	quot;Bloom=	quot; 3D-printed cement structure=	excerpt=University of California, Berkeley	tags=	url=http://ift.tt/1x2cchV	added_date=March 08, 2015 at 04:27PM
Timestamp=Sun 8 Mar 2015 23:32:21 GMT +0	activity_type=pocket	title=Le sous-marin franc,ais <<Saphir>> coule un porte-avions ame'ricain	excerpt=C'est un touche'-coule' virtuel dont la Marine franc,aise parle peu. Le sous-marin nucle'aire d?attaque (SNA) Saphir e'tait engage' mi-fe'vrier dans l'Atlantique Nord afin d'entrai^ner un groupe ae'ronaval ame'ricain pre`s des co^tes de la Floride.	tags=	url=http://ift.tt/1Eudicy	added_date=March 08, 2015 at 04:30PM
Timestamp=Sun 8 Mar 2015 23:48:34 GMT +0	activity_type=pocket	title=In Florida, Officials Ban Term ?Climate Change?	excerpt=The state of Florida is the region most susceptible to the effects of global warming in this country, according to scientists. Sea-level rise alone threatens 30 percent of the state?s beaches over the next 85 years.	tags=	url=http://ift.tt/1KGhMlD	added_date=March 08, 2015 at 04:35PM
Timestamp=Sun 8 Mar 2015 23:48:36 GMT +0	activity_type=pocket	title=Hillary Clinton in pole position for US presidency as Republicans veer off course	excerpt=When Bill Clinton ran for president in 1992, he made his campaign announcement on the almost unimaginably late date of 3 October 1991.	tags=	url=http://ift.tt/1DWWE1D	added_date=March 08, 2015 at 04:39PM
Timestamp=Mon 9 Mar 2015 04:43:51 GMT +0	activity_type=pocket	title=mroth/unindexed	excerpt=The site is constantly searching for itself in Google, over and over and over, 24 hours a day. The instant it finds itself in Google search results, the site will instantaneously and irrevocably securely delete itself.	tags=	url=http://ift.tt/1GvnW5g	added_date=March 08, 2015 at 09:28PM
Timestamp=Mon 9 Mar 2015 13:59:53 GMT +0	activity_type=pocket	title=In Indian Rapists? Neighborhood, Smoldering Anger and Code of Silence	excerpt=NEW DELHI -- The house once occupied by India?s most notorious rapists is now sealed with a heavy padlock, at the end of a cul-de-sac smelling of musty abandonment.	tags=	url=http://ift.tt/1FxdF4L	added_date=March 09, 2015 at 06:41AM
Timestamp=Mon 9 Mar 2015 13:59:54 GMT +0	activity_type=pocket	title=Republicans Warn Iran -- and Obama -- That Deal Won't Last	excerpt=A group of 47 Republican senators has written an open letter to Iran's leaders warning them that any nuclear deal they sign with President Barack Obama's administration won?t last after Obama leaves office.	tags=	url=http://ift.tt/1Bn79wI	added_date=March 09, 2015 at 06:41AM
Timestamp=Mon 9 Mar 2015 13:59:55 GMT +0	activity_type=pocket	title=Lindsey Graham: I've Never Sent an Email	excerpt=He's been a U.S. senator for 12 years, and was a Congressman for eight more before that, but South Carolina Republican Lindsey Graham says he has never sent an email. Graham's surprising answer: 	quot;I don't email. No, you can have every email I've ever sent. I've never sent one.=	quot;=	tags=	url=http://ift.tt/1A4ZVty	added_date=March 09, 2015 at 06:42AM
Timestamp=Mon 9 Mar 2015 13:59:56 GMT +0	activity_type=pocket	title=D.C. to pay $9.2 million in wrongful conviction	excerpt=A D.C. Superior Court judge ordered the District government Friday to pay a record $9.2 million in damages to Kirk L. Odom, 52, who was wrongfully imprisoned for more than 22 years in the rape and robbery of a woman in her Capitol Hill apartment in 1981. The amount, set by Judge Neal E.	tags=	url=http://ift.tt/1MeOKoA	added_date=March 09, 2015 at 06:42AM
Timestamp=Mon 9 Mar 2015 15:06:18 GMT +0	activity_type=pocket	title=Dschinghis Khan - Moskau 1979	excerpt="Dschinghis Khan - Moskau 1979Moskau - fremd und geheimnisvoll, Tu"rme aus rotem Gold, kalt wie das Eis.Moskau - doch wer dich wirklich kennt, der weiss, ein Feuer brennt in dir so heiss.Kosaken hey, hey, hey leert die Gla"ser! Natascha ha,ha, ha, du bist scho"n! Towarisch hey, hey, hey, auf das Lebe"	tags=	url=http://ift.tt/1coGiEy	added_date=March 09, 2015 at 07:50AM
Timestamp=Mon 9 Mar 2015 23:06:30 GMT +0	activity_type=pocket	title=Here's What Happens When Trolling Backfires	excerpt=In the latest example of truly idiotic behavior in the virtual world translating to consequences in the real world, former Major League Baseball pitcher Curt Schilling has taken two trolls to task for obscene and violent tweets about his teenage daughter.	tags=	url=http://ift.tt/185JfeM	added_date=March 09, 2015 at 03:57PM
